Game 385: Score = 236, Max Tile = 16, Time = 0.0145 seconds
Game 386: Score = 792, Max Tile = 64, Time = 0.0272 seconds
Game 387: Score = 804, Max Tile = 64, Time = 0.0333 seconds
Game 388: Score = 932, Max Tile = 64, Time = 0.0280 seconds
Game 389: Score = 896, Max Tile = 64, Time = 0.0258 seconds
Game 390: Score = 856, Max Tile = 64, Time = 0.0295 seconds
Game 391: Score = 1352, Max Tile = 128, Time = 0.0406 seconds
Game 392: Score = 984, Max Tile = 128, Time = 0.0490 seconds
Game 393: Score = 812, Max Tile = 64, Time = 0.0350 seconds
Game 394: Score = 572, Max Tile = 64, Time = 0.0288 seconds
Game 395: Score = 1284, Max Tile = 128, Time = 0.0325 seconds
Game 396: Score = 1976, Max Tile = 256, Time = 0.0375 seconds
Game 397: Score = 676, Max Tile = 64, Time = 0.0267 seconds
Game 398: Score = 1288, Max Tile = 128, Time = 0.0446 seconds
Game 399: Score = 1720, Max Tile = 128, Time = 0.0447 seconds
Game 400: Score = 1076, Max Tile = 128, Time = 0.0357 seconds
Game 401: Score = 604, Max Tile = 64, Time = 0.0143 seconds
Game 402: Score = 1440, Max Tile = 128, Time = 0.0353 seconds
Game 403: Score = 444, Max Tile = 32, Time = 0.0210 seconds
Game 404: Score = 1836, Max Tile = 128, Time = 0.0334 seconds
Game 405: Score = 580, Max Tile = 64, Time = 0.0196 seconds
Game 406: Score = 1016, Max Tile = 128, Time = 0.0239 seconds
Game 407: Score = 700, Max Tile = 64, Time = 0.0221 seconds
Game 408: Score = 744, Max Tile = 64, Time = 0.0177 seconds
Game 409: Score = 2280, Max Tile = 256, Time = 0.0517 seconds
Game 410: Score = 312, Max Tile = 32, Time = 0.0230 seconds
Game 411: Score = 820, Max Tile = 64, Time = 0.0272 seconds
Game 412: Score = 1224, Max Tile = 128, Time = 0.0311 seconds
Game 413: Score = 1308, Max Tile = 128, Time = 0.0343 seconds
Game 414: Score = 1496, Max Tile = 128, Time = 0.0428 seconds
Game 415: Score = 1360, Max Tile = 128, Time = 0.0376 seconds
Game 416: Score = 380, Max Tile = 32, Time = 0.0204 seconds
Game 417: Score = 920, Max Tile = 64, Time = 0.0291 seconds
Game 418: Score = 1296, Max Tile = 128, Time = 0.0394 seconds
